county,province,townland_count,area_km2
CORK,Munster,5326,7502.64
GALWAY,Connacht,4255,6150.93
MAYO,Connacht,3252,5587.53
TIPPERARY,Munster,3140,4303.40
DONEGAL,Ulster,2739,4860.75
KERRY,Munster,2692,4812.99
WEXFORD,Leinster,2299,2369.84
CLARE,Munster,2221,3448.62
ROSCOMMON,Connacht,2045,2547.14
CAVAN,Ulster,1977,1931.22
LIMERICK,Munster,1929,2754.93
MONAGHAN,Ulster,1848,1294.16
MEATH,Leinster,1599,2342.05
KILKENNY,Leinster,1573,2071.10
WATERFORD,Munster,1572,1857.04
LEITRIM,Connacht,1483,1588.03
WICKLOW,Leinster,1357,2025.16
WESTMEATH,Leinster,1341,1838.31
SLIGO,Connacht,1265,1836.08
KILDARE,Leinster,1210,1694.08
OFFALY,Leinster,1143,2000.02
LAOIS,Leinster,1111,1719.13
LONGFORD,Leinster,886,1091.08
DUBLIN,Leinster,883,925.76
LOUTH,Leinster,674,826.11
CARLOW,Leinster,560,896.31
